timestamp,open,high,low,close,volume,quote_volume
1759276800,4142.75,4145.14,4141.46,4144.27,2537.604,10514843.0545
1759276860,4144.28,4148.62,4144.28,4148.13,2840.669,11780550.38735
1759276920,4148.13,4148.35,4146.6,4147.91,1948.139,8080199.41934
1759276980,4147.9,4149.08,4146.21,4146.21,2024.947,8398792.31089
1759277040,4146.2,4149.09,4145.76,4149.09,1144.532,4746113.59271
1759277100,4149.09,4149.84,4148.37,4148.37,1620.427,6723699.96072
1759277160,4148.35,4150.0,4147.0,4149.86,1876.599,7785443.00758
1759277220,4149.86,4149.87,4146.59,4146.59,1443.543,5987708.36137
1759277280,4146.59,4147.36,4145.87,4146.76,666.96,2765662.467
1759277340,4146.76,4146.85,4145.76,4146.84,601.044,2492052.80475
1759277400,4146.85,4147.0,4145.1,4145.1,704.496,2921187.38049
1759277460,4145.11,4146.8,4143.96,4143.96,1115.658,4624395.24741
1759277520,4143.96,4145.88,4143.96,4145.63,702.389,2911248.45416
1759277580,4145.64,4145.64,4141.52,4142.78,2024.855,8390109.79121
1759277640,4142.78,4143.68,4141.4,4143.68,1339.201,5547262.98501
1759277700,4143.67,4144.98,4141.39,4142.0,1359.222,5631541.15419
1759277760,4142.0,4142.24,4139.92,4141.04,1256.212,5202063.86577
1759277820,4141.04,4142.69,4138.08,4138.08,1889.246,7822729.70144
1759277880,4138.08,4140.0,4138.08,4139.78,1141.759,4726227.05605
1759277940,4139.78,4142.69,4139.14,4142.68,1495.299,6191363.8594
1759278000,4142.68,4143.33,4140.74,4141.24,884.348,3663230.55645
1759278060,4141.24,4141.24,4138.17,4138.46,858.509,3553189.70721
1759278120,4138.45,4138.64,4136.66,4136.99,1166.792,4827874.27997
1759278180,4136.99,4137.0,4133.33,4136.87,2748.379,11364742.43995
1759278240,4136.88,4136.96,4133.93,4135.38,1203.577,4977133.18979
1759278300,4135.38,4137.25,4135.38,4135.95,1337.827,5534128.23899
1759278360,4135.95,4137.5,4132.73,4132.73,1016.146,4202102.78811
1759278420,4132.73,4135.71,4132.73,4135.71,706.774,2921969.49537
1759278480,4135.72,4136.0,4135.08,4135.7,993.745,4109626.35492
1759278540,4135.7,4135.83,4128.47,4130.61,3924.174,16209119.86585
1759278600,4130.6,4132.18,4130.09,4130.33,1360.247,5619905.16939
1759278660,4130.33,4133.91,4126.73,4133.9,4816.986,19890696.83972
1759278720,4133.91,4135.54,4132.89,4134.35,1218.412,5037658.84755
1759278780,4134.36,4136.36,4133.15,4135.55,1366.429,5650035.03626
1759278840,4135.56,4139.36,4135.56,4138.73,1515.932,6273284.48914
1759278900,4138.72,4139.36,4136.55,4137.27,1182.339,4892424.50831
1759278960,4137.28,4137.54,4132.42,4133.0,667.197,2759006.10679
1759279020,4132.99,4133.88,4130.65,4130.66,1091.634,4511333.47869
1759279080,4130.65,4132.17,4130.26,4132.17,341.758,1411897.60168
1759279140,4132.16,4132.47,4129.34,4131.22,1471.367,6077747.15884
1759279200,4131.23,4131.52,4129.88,4130.79,523.133,2160786.14931
1759279260,4130.8,4132.35,4130.01,4130.23,900.306,3719156.54337
1759279320,4130.24,4130.24,4122.96,4124.9,4977.323,20535721.25098
1759279380,4124.9,4126.0,4123.27,4123.7,1436.623,5925957.48529
1759279440,4123.71,4124.37,4122.81,4124.37,1503.204,6198598.51455
1759279500,4124.36,4127.62,4124.36,4127.57,1295.117,5342991.82748
1759279560,4127.56,4130.75,4127.52,4129.64,2945.747,12163470.92947
1759279620,4129.63,4129.64,4120.61,4123.77,5780.885,23836697.79967
1759279680,4123.78,4124.72,4123.37,4124.72,744.781,3071399.04602
1759279740,4124.71,4127.83,4124.16,4127.66,1392.42,5746055.39946
1759279800,4127.65,4131.43,4127.65,4129.91,1719.54,7099522.39152
1759279860,4129.91,4130.2,4127.66,4130.2,815.803,3368113.24242
1759279920,4130.19,4132.6,4129.35,4132.0,987.883,4081523.76829
1759279980,4132.0,4134.92,4131.99,4134.71,2555.708,10564318.01985
1759280040,4134.71,4143.62,4134.49,4143.18,6603.077,27334867.83704
1759280100,4143.18,4145.0,4142.82,4142.98,2726.437,11298660.55011
1759280160,4142.98,4144.19,4141.46,4144.07,1709.607,7082267.16359
1759280220,4144.08,4144.57,4142.75,4142.99,803.352,3328607.59103
1759280280,4142.99,4144.49,4142.6,4143.52,1536.915,6368621.73804
1759280340,4143.53,4146.66,4143.52,4146.65,2982.712,12363963.90398
1759280400,4146.65,4147.82,4143.38,4144.27,2639.704,10944369.92934
1759280460,4144.28,4144.65,4142.0,4142.24,878.676,3640505.5232
1759280520,4142.24,4142.3,4139.94,4142.03,963.993,3992488.15787
1759280580,4142.03,4145.28,4140.61,4144.29,1153.175,4778105.67044
1759280640,4144.29,4146.0,4143.38,4145.48,951.465,3943814.0539
1759280700,4145.48,4148.43,4145.47,4146.1,1851.313,7677734.81072
1759280760,4146.11,4150.0,4146.1,4148.89,2436.183,10107122.7391
1759280820,4148.9,4149.41,4146.25,4146.25,821.894,3409325.0401
1759280880,4146.25,4146.45,4145.96,4146.27,852.754,3535629.25441
1759280940,4146.27,4148.71,4146.26,4148.71,766.163,3177781.36237
1759281000,4148.71,4155.39,4148.37,4153.0,6636.97,27558801.74677
1759281060,4153.0,4153.77,4150.04,4150.05,3386.391,14062421.87132
1759281120,4150.04,4150.85,4148.64,4148.67,1150.849,4775747.71375
1759281180,4148.66,4150.0,4147.98,4149.99,667.228,2768293.85697
1759281240,4150.0,4151.48,4148.96,4148.96,652.528,2708111.11574
1759281300,4148.97,4149.6,4148.25,4148.93,1243.447,5158902.44405
1759281360,4148.93,4151.87,4146.26,4147.99,1619.608,6719878.76411
1759281420,4147.99,4149.8,4147.65,4149.8,782.239,3245433.36336
1759281480,4149.79,4151.32,4146.56,4147.16,1311.584,5442017.72062
1759281540,4147.17,4147.17,4142.39,4143.58,1416.945,5872391.67464
1759281600,4143.58,4146.67,4143.48,4145.53,920.555,3815720.02847
1759281660,4145.54,4148.03,4143.54,4143.92,1303.992,5405180.26436
1759281720,4143.92,4146.56,4141.16,4146.56,1574.133,6521149.04947
1759281780,4146.55,4149.53,4145.83,4149.49,2005.265,8318042.9155
1759281840,4149.49,4150.0,4147.27,4149.31,1670.107,6928352.08535
1759281900,4149.31,4151.09,4147.43,4151.09,765.12,3175019.45453
1759281960,4151.1,4151.64,4150.14,4151.51,804.018,3337361.8209
1759282020,4151.5,4151.51,4148.22,4148.22,855.82,3551383.4685
1759282080,4148.23,4152.4,4148.23,4152.4,1823.652,7567888.45813
1759282140,4152.4,4157.81,4148.76,4151.01,8280.66,34396421.52576
1759282200,4151.01,4151.78,4148.62,4148.62,1390.821,5773210.50516
1759282260,4148.62,4148.62,4145.28,4146.36,935.317,3878123.00569
1759282320,4146.35,4146.96,4146.28,4146.65,590.167,2447206.30074
1759282380,4146.65,4146.65,4145.52,4145.86,794.167,3292586.74697
1759282440,4145.86,4145.92,4143.92,4144.48,1122.453,4652462.55824
1759282500,4144.48,4151.91,4143.92,4150.39,2756.031,11435938.57567
1759282560,4150.39,4151.18,4148.35,4150.72,939.043,3896410.85584
1759282620,4150.72,4155.77,4150.72,4153.35,1681.217,6983436.23871
1759282680,4153.34,4155.45,4153.34,4155.14,1709.87,7103245.89604
1759282740,4155.13,4158.22,4154.61,4157.42,1924.426,8000019.39149
1759282800,4157.43,4162.62,4157.03,4160.03,4435.139,18451414.04166
1759282860,4160.03,4162.97,4160.02,4162.25,1682.923,7003656.15999
1759282920,4162.25,4162.26,4159.38,4160.67,1720.977,7160111.27825
1759282980,4160.68,4162.43,4160.33,4160.86,2253.058,9375283.4164
1759283040,4160.86,4165.58,4160.54,4162.28,7414.471,30866332.16287
1759283100,4162.29,4166.35,4161.45,4164.2,6163.011,25661524.84539
1759283160,4164.2,4167.93,4162.42,4162.42,5032.012,20960921.1882
1759283220,4162.42,4163.68,4161.46,4162.72,1769.817,7366852.20899
1759283280,4162.73,4165.55,4162.72,4165.24,1572.812,6549201.14052
1759283340,4165.23,4168.0,4165.23,4166.0,2459.354,10248999.31167
1759283400,4166.01,4166.01,4164.18,4165.82,1808.341,7532087.44818
1759283460,4165.82,4166.68,4163.09,4164.03,1264.277,5265651.45062
1759283520,4164.04,4167.73,4162.77,4167.73,1651.214,6877146.64966
1759283580,4167.72,4169.79,4167.17,4167.17,1930.813,8048682.50546
1759283640,4167.18,4171.52,4167.17,4170.84,2730.073,11383192.32837
1759283700,4170.84,4172.47,4170.84,4171.43,2367.511,9876515.46022
